Branch ID	Route Name 	Starting Point	Ending Point	Sign	Notes	Division(s)	Long Description
123_0_123C	123 Sherway	Kipling Stn	Long Branch Loop	123C Long Branch	via North Queen and Sherway	Queensway	
123_0_123D	123 Sherway	Kipling Stn	Sherway Gardens	123D Sherway	via East Mall	Queensway	
123_0_123F	123 Sherway	Kipling Stn	Sherway Gardens	123F Sherway	via West Mall	Queensway	
123_0_SHLO	123 Sherway	Sherway Gardens	Long Branch Loop	123C Long Branch	First trip	Queensway	This is the first trip as the route division is closer to Sherway Gardens.
123_1_123B	123 Sherway	Long Branch Loop	Kipling Stn	123B Kipling Stn	via Sherway and East Mall	Queensway	
123_1_EMKP	123 Sherway	The East Mall/Bloor St West	Kipling Stn	123B Kipling Stn	via East Mall and Sherway	Queensway	
123_1_123C	123 Sherway	Long Branch Loop	Kipling Stn	123C Kipling Stn	via Sherway and North Queen	Queensway	
123_1_123D	123 Sherway	Sherway Gardens	Kipling Stn	123D Kipling Stn	via East Mall	Queensway	
123_1_123F	123 Sherway	Sherway Gardens	Kipling Stn	123F Kipling Stn	via West Mall	Queensway	
124_0_124	124 Sunnybrook	Lawrence Stn	Sunnybrook Hospital Main Entrance 	124 Sunnybrook Hospital	N/A	Wilson	
124_0_124con	124 Sunnybrook	Melrose Avenue	Sunnybrook Hospital Main Entrance 	124 Sunnybrook Hospital	via Lawrence Stn	Wilson	
124_1_124	124 Sunnybrook	Sunnybrook Hospital Main Entrance 	Lawrence Stn	124 Lawrence Stn	via Cancer	Wilson	
124_1_124con	124 Sunnybrook	Sunnybrook Hospital Main Entrance 	Melrose Avenue	124 Avenue Rd (Roe Loop)	via Lawrence Stn	Wilson	
124_1_124compm	124 Sunnybrook	Sunnybrook Hospital Main Entrance 	Melrose Avenue	124 Avenue Rd (Roe Loop)	via Lawrence Stn	Wilson	
124_1_124pm	124 Sunnybrook	Sunnybrook Hospital Main Entrance 	Lawrence Stn	124 Lawrence Stn	bypassing Odette Cancer Centre	Wilson	
125_0_125	125 Drewry	Bathurst (Torresdale)	Finch Stn	125 Finch Stn	N/A	Wilson	
125_0_ANBA	125 Drewry	Antibes/Torresdale	Bathurst/Antibes	125 Bathurst	Last trip	Wilson	
125_1_125	125 Drewry	Finch Stn	Bathurst (Torresdale)	125 Bathurst	N/A	Wilson	
125_1_TOBA	125 Drewry	Antibes/Torresdale	Bathurst/Antibes	125 Bathurst	last trip	Wilson	
125_1_BAAN	125 Drewry	Bathurst/Drewry	Antibes Drive	125S Short Turn	N/A	Wilson	
126_0_126	126 Christie 	St Clair West Stn	Christie Stn	126 Christie Stn	N/A	Mount Dennis	
126_1_126	126 Christie 	Christie Stn	St Clair West Stn	126 St Clair Stn	N/A	Mount Dennis	
127_0_127	127 Davenport 	Townsley Loop	Spadina Stn	127 Spadina Stn	N/A	Mount Dennis	
127_1_127	127 Davenport 	Spadina Stn	Townsley Loop	127 St Clair & Old Weston Rd	N/A	Mount Dennis	
129_0_129A	129 McCowan North	Major Mackenzie Drive/The Bridle Walk	Scarborough Centre 	129A Scarborough Centre 	N/A	Malvern	
129_0_129B	129 McCowan North	Steeles/McCowan Loop	Scarborough Centre 	129 Scarborough Centre 	N/A	Malvern	
129_1_129A	129 McCowan North	Scarborough Centre 	Major Mackenzie Drive/The Bridle Walk	129A Major Mackenzie	Extra Fare Required North of Steeles	Malvern	
129_1_129B	129 McCowan North	Scarborough Centre 	Steeles/McCowan Loop	129B Steeles	N/A	Malvern	
129_1_129SHST	129 McCowan North	Sheppard/McCowan	Steeles/McCowan Loop 	129B Steeles	First trip	Malvern	
129_1_MCSL	129 McCowan North	McCowan/Sheppard 	Steeles/McCowan Loop	129B Steeles	First trip	Malvern	
130_0_130A	130 Middlefield	Steeles/Middlefield Loop	Scarborough Centre 	130 Scarborough Centre	N/A	Malvern	
130_1_130A	130 Middlefield	Scarborough Centre 	Steeles/Middlefield Loop	130A Steeles	N/A	Malvern	
130_0_130B	130 Middlefield	Steeles/Middlefield Loop	Scarborough Centre 	130 Scarborough Centre	via Maybrook	Malvern	
130_1_130B	130 Middlefield	Scarborough Centre 	Steeles/Middlefield Loop	130B Steeles	via Maybrook	Malvern	
131_0_131	131 Nugget	Old Finch/Morningview Trail	Scarborough Centre 	131 Scarborough Centre	Before 3pm, clockwise looping	Malvern	
131_0_131r	131 Nugget	Swells Rd/Morningview Trail	Scarborough Centre 	131 Scarborough Centre 	After 3pm, clockwise looping	Malvern	
131_1_131	131 Nugget	Scarborough Centre 	Old Finch/Morningview Trail	131 Old Finch/Morningview	Before 3pm, clockwise looping	Malvern	
131_1_131r	131 Nugget	Scarborough Centre 	Swells Rd/Morningview Trail	131 Old Finch/Morningview 	After 3pm, clockwise looping	Malvern	
131_0_MVMO	131 Nugget	Morningview Trail/Old Finch	Morningside/John Stoner Drive	131 Scarborough Centre	Last trip 	Malvern	
131_0_MVMOr	131 Nugget 	Swells Rd/Morningview Trail	Morningside/John Stoner Drive	131 Scarborough Centre	N/A	Malvern	
131_1_MOMV	131 Nugget	Morningside/Morningview Trail	Swells Rd/Morningview Trail	131 Old Finch/Morningview	First trip	Malvern	
131_1_131r	131 Nugget	Swells Rd/Morningview Trail	Scarborough Centre 	131 Scarborough Centre 	Last 131 Trip Before 903 trip's	Malvern	
131_1_MOMVr	131 Nugget	Morningside/Morningview Trail	Swells Rd/Morningview Trail	131 Old Finch/Morningview	First Evening trip	Malvern	
132_0_132	132 Milner	Hupfield Trail/Sewells Road	Scarborough Centre 	132 Scarborough Centre 	N/A	Malvern	
132_0_HPSE	132 Milner	Hupfield Trail/Sewells Road	Sewells Road/Brenyon Way	132S Short Turn	Last Trip 	Malvern	
132_1_132	132 Milner	Scarborough Centre 	Hupfield Trail/Sewells Road	132 McLevin & Hupfield	N/A	Malvern	
132_1_SEHP	132 Milner	Sewells Road/Brenyon Way	Hupfield Trail/Sewells Road	132 McLevin & Hupfield	Last Trip 	Malvern	
133_0_133	133 Neilson 	Morningside/Finch	Scarborough Centre 	133 Scarborough Centre via Centenary	N/A	Malvern	
133_0_133am	133 Neilson 	Staines/Morningside	Scarborough Centre 	133 Scarborough Centre	bypass Centenary	Malvern	
133_0_133pm	133 Neilson 	Morningside/Finch	Scarborough Centre 	133 Scarborough Centre	via Centenary	Malvern	
133_1_133	133 Neilson 	Scarborough Centre Station	Morningside/Finch	133 Morningside Heights via Centenary	N/A	Malvern	
133_1_133am	133 Neilson 	Scarborough Centre Station	Staines/Morningside	133 Morningside Heights 	via Centenary	Malvern	
133_1_133pm	133 Neilson 	Scarborough Centre Station	Morningside/Finch	133 Morningside Heights	bypass Centenary	Malvern	
133_1_NIMOpm	133 Neilson 	Morningside/Nightstar (Finch)	Morningside/Staines	133 Morningside Heights	First trip	Malvern	
134_0_134A	134 Progress	Finch Avenue East	Scarborough Centre 	134 Scarborough Centre 	N/A	Malvern	
134_0_134Ar	134 Progress	Finch Avenue East	Scarborough Centre 	134 Scarborough Centre 	N/A	Malvern	
134_0_134Bam	134 Progress	McNicoll Avenue	Scarborough Centre 	134 Scarborough Centre 	via Tapscott	Malvern	
134_0_134Bpm	134 Progress	McNicoll Avenue	Scarborough Centre 	134 Scarborough Centre 	via Tapscott	Malvern	
134_0_134C	134 Progress	Centennial College	Scarborough Centre 	134 Scarborough Centre	N/A	Malvern	
134_1_134A	134 Progress	Scarborough Centre 	Finch Avenue East	134A Finch	via Tapscott	Malvern	
134_1_134Ar	134 Progress	Scarborough Centre 	Finch Avenue East	134A Finch	via Tapscott	Malvern	
134_1_134Bam	134 Progress	Scarborough Centre 	McNicoll Avenue	134B McNicoll	via Tapscott	Malvern	
134_1_134Bpm	134 Progress	Scarborough Centre 	McNicoll Avenue	134B McNicoll	via Tapscott	Malvern	
134_1_134C	134 Progress	Scarborough Centre 	Centennial College	134C Centeninnal College	N/A	Malvern	
134_1_TAFD	134 Progress	Tapscott/Crow Trail	Finchdene Square/Finch Ave East	134A Finch	N/A	Malvern	
134_1_TAFD*	134 Progress 	Tapscott/Crow Trail	Finch Ave East/Baldoon Rd	134B McNicoll	Read long description	Malvern	Oddly, this branch travels from Finch to McNicoll then returns to Finch. The branch ends at Finch.
135_0_135	135 Gerrard	Main Street Stn	Warden Stn	135 Warden Stn	N/A	Birchmount, Eglinton	
135_1_135	135 Gerrard	Warden Stn	Main Street Stn	135 Main Street Stn	N/A	Birchmount, Eglinton	
141_0_141am	141 Mt. Pleasant Express	Spadina Avenue/King Street West	Redpath Avenue/Eglinton Ave East	141 Eglinton	Extra Fare Required via Eglinton	Mount Dennis	
141_0_141A	141 Mt. Pleasant Express	King Street West/Peter Street	Mount Pleasant Rd/Lawrence Ave East	141 Eglinton	Extra Fare Required	Mount Dennis	
141_0_141B	141 Mt. Pleasant Express	King Street West/Peter Street	Redpath Avenue/Eglinton Ave East	141 Eglinton	Extra Fare Required	Mount Dennis	
141_0_141pm	141 Mt. Pleasant Express	Spadina Avenue/King Street West	Redpath Avenue/Eglinton Ave East	141 Eglinton	Extra Fare Required via Erskine	Mount Dennis	
141_1_141am	141 Downtown Express	Redpath Avenue/Eglinton Ave East	Simcoe Street/Adelaide St West	141 Downtown	Extra Fare Required	Mount Dennis	
141_1_141A	141 Downtown Express	Mount Pleasant Rd/Lawrence Ave East	Charlotte Street/King Street West	141 Downtown	Extra Fare Required	Mount Dennis	
141_1_141B	141 Downtown Express	Redpath Avenue/Eglinton Ave East	King Street West/Peter Street	141 Downtown	Extra Fare Required	Mount Dennis	
141_1_141pm	141 Downtown Express	Redpath Avenue/Eglinton Ave East	Simcoe Street/Adelaide St West	141 Downtown	Extra Fare Required	Mount Dennis	
141_1_asad	141 Downtown Express	Simcoe Street/Adelaide St West	Adelaide St West/Church Street	141 Downtown	Extra Fare Required	Mount Dennis	
142_0_142	142 Avenue Rd Express	Simcoe Street/Adelaide St West	Highway 401 (Bombay Loop)	142 Highway 401	Extra Fare Required	Wilson	
142_1_142	142 Downtown Express	Highway 401 (Bombay Loop)	Simcoe Street/Adelaide St West	142 Downtown	Extra Fare Required	Wilson	
142_0_SICH	142 Downtown Express	Simcoe Street/Adelaide St West	Charles Street West/Bloor Street	142 Downtown	Extra Fare Required	Wilson	
143_0_143	143 Beaches Express	Simcoe Street/Adelaide St West	Neville Park Blvd	143 Neville Park	Extra Fare Required	Birchmount	
143_0_143Con	143 Beaches Express	Simcoe Street/Adelaide St West	Neville Park Blvd	143 Neville Park	Extra Fare Required	Birchmount	
143_0_143pm	143 Downtown Express	Neville Park Blvd	Simcoe Street/Adelaide St West	143 Downtown	Extra Fare Required	Birchmount	
143_1_143	143 Downtown Express	Neville Park Blvd	Simcoe Street/Adelaide St West	143 Downtown	Extra Fare Required	Birchmount	
143_1_143Con	143 Downtown Express	Neville Park Blvd	Simcoe Street/Adelaide St West	143 Downtown	Extra Fare Required	Birchmount	
143_1_143pm	143 Beaches Express	Simcoe Street/Adelaide St West	Neville Park Blvd	143 Neville Park	Extra Fare Required	Birchmount	
143_1_143pmCon	143 Beaches Express	Simcoe Street/Adelaide St West	Neville Park Blvd	143 Neville Park	Extra Fare Required	Birchmount	
143_1_SHAS	143 Beaches Express	Sherbourne St/Richmond St West	Simcoe Street/Adelaide St West	143 Neville Park	Extra Fare Required	Birchmount	TRACK
144_0_144	144 Downtown Express	Victoria Park/Ellesmere	Simcoe Street/Adelaide St West	144 Downtown	Extra Fare Required bypass Valley Woods	Eglinton	
144_0_144A	144 Downtown Express	Victoria Park/Ellesmere	Simcoe Street/Adelaide St West	144 Downtown	Extra Fare Required via Valley Woods	Eglinton	
144_0_144B	144 Downtown Express	18 Concorde Cul De Sac	Simcoe Street/Adelaide St West	144 Downtown	Extra Fare Required	Eglinton	
144_0_JVAS	144 Don Valley Express	Jarvis St/Richmond Street West	Simcoe Street/Adelaide St West	144 Downtown	Extra Fare Required	Eglinton	
144_1_144	144 Don Valley Express	Simcoe Street/Adelaide St West	Victoria Park/Ellesmere	144 Wynford & York Mills	Extra Fare Required via Valley Woods	Eglinton	
144_1_144A	144 Don Valley Express	Simcoe Street/Adelaide St West	Victoria Park/Ellesmere	144 Downtown	Extra Fare Required	Eglinton	
144_1_144B	144 Don Valley Express	Simcoe Street/Adelaide St West	18 Concorde Cul De Sac	144 Wynford	Extra Fare Required	Eglinton	
144_1_ASAD	144 Dontown Express	Adelaide St West/Simcoe Street	Adelaide St West/Church Street	144 Downtown	Extra Fare Required	Eglinton	
145_0_145A	145 Downtown Express	Mimico Avenue/Royal York Rd	Spadina Avenue	145 Downtown	Extra Fare Required	Queensway	
145_0_145Aa	145 Downtown Express	King Street East/George Street	Royal York Rd/Albani Street	145A Royal York	Extra Fare Required	Queensway	
145_0_145Ap	145 Downtown Express	King Street East/George Street	Royal York Rd/Albani Street	145A Royal York	Extra Fare Required	Queensway	
145_0_145A4	145 Downtown Express	Mimico Avenue/Royal York Rd	Spadina Avenue	145 Downtown	Extra Fare Required, Run 4	Queensway	
145_0_145A5	145 Downtown Express	Mimico Avenue/Royal York Rd	Spadina Avenue	145 Downtown	Extra Fare Required, Run 5	Queensway	
145_0_145Aam	145 Humber Bay Express	Mimico Avenue/Royal York Rd	Spadina Avenue	145 Downtown	Extra Fare Required	Queensway	
145_0_145Apm	145 Humber Bay Express	King Street West	Mimico/Royal York	145A Royal York	Extra Fare Required	Queensway	
145_0_145Ba	145 Downtown Express	King Street East/George Street	Lake Shore Blvd West/Kipling Avenue	145B Kipling	Extra Fare Required	Queensway	
145_0_145Bp	145 Humber Bay Express	King Street East/George Street	Lake Shore Blvd West/Kipling Avenue	145B Kipling	Extra Fare Required	Queensway	
145_0_145B1	145 Humber Bay Express	Adelaide Street West	Kipling Avenue	145B Kipling 	Extra Fare Required	Queensway	
145_0_145B2	145 Humber Bay Express	Richmond Street West	Kipling Avenue	145B Kipling 	Extra Fare Required	Queensway	
145_0_145B3	145 Humber Bay Express	King Street West	Kipling Avenue	145B Kipling 	Extra Fare Required	Queensway	
145_0_145B	145 Humber Bay Express	Adelaide Street West	Kipling Avenue	145B Kipling 	Extra Fare Required	Queensway	
145_0_ADRM	145 Downtown Express	Adelaide Street West	Richmond Street West	145 Downtown	Extra Fare Required	Queensway	
145_1_145A	145 Humber Bay Express	Spadina Avenue	Mimico Avenue/Royal York Rd	145A Royal York	Extra Fare Required	Queensway	
145_1_145Aam	145 Downtown Express	Mimico Avenue/Royal York Rd	Spadina Avenue	145 Downtown	Extra Fare Required	Queensway	
145_1_145Apm	145 Downtown Express	Mimico Avenue/Royal York Rd	King Street West	145 Downtown	Extra Fare Required	Queensway	
145_1_145Ap	145 Downtown Express	King Street East/George Street	Royal York Rd/Albani Street	145 Downtown	Extra Fare Required	Queensway	
145_1_145B	145 Downtown Express	Kipling Avenue	Adelaide Street West	145 Downtown	Extra Fare Required	Queensway	
145_1_145Bp	145 Downtown Express	Lake Shore Blvd West/Kipling Avenue	King Street East/George Street	145 Downtown	Extra Fare Required	Queensway	
145_1_145Ami	145 Humber Bay Express	Spadina Avenue	Mimico Avenue/Royal York Rd	145A Royal York	Extra Fare Required	Queensway	
145_1_145Ami1	145 Humber Bay Express	Spadina Avenue	Mimico Avenue/Royal York Rd	145A Royal York	Extra Fare Required	Queensway	
160_0_160	160 Bathurst North	Clark Avenue	Wilson Stn	160 Wilson Stn	N/A	Wilson	
160_0_BASB	160 Bathurst North	Clark Avenue	Steeles Ave West/Bathurst Street	160S Steeles	Last Trip	Wilson	
160_1_160	160 Bathurst North	Wilson Stn	Clark Avenue	160 Centre Street	via Promenade/Atkinson, Extra Fare Required North of Steeles	Wilson	
161_0_161	161 Rogers Road	Alliance Avenue/Jane Street	Ossington Stn	161 Ossington Stn	N/A	Mount Dennis	
161_0_ljro	161 Rogers Road	Alliance Avenue/Jane Street	Alliance Avenue/Rockcliffe Blvd	161S Short Turn	N/A	Mount Dennis	
161_1_161	161 Rogers Road	Ossington Stn	Alliance Avenue/Jane Street	161 Jane 	N/A	Mount Dennis	
162_0_162	162 Lawrence-Donway	Lawrence Stn	The Donway East/Lawrence	162 Don Mills	N/A	Wilson	
162_0_162con	162 Lawrence-Donway	Melrose Avenue	The Donway East/Lawrence	162 Don Mills	via Lawrence Stn	Wilson	
162_0_DWDE	162 Lawrence-Donway	The Donway West/Lawrence	The Donway East/Lawrence	162 Lawrence Stn	N/A	Wilson	
162_1_162	162 Lawrence-Donway	The Donway East/Lawrence	Lawrence Stn	162 Lawrence Stn	N/A	Wilson	
162_1_DEDW	162 Lawrence-Donway	The Donway East/Lawrence	Lawrence Stn	162 Lawrence Stn	N/A	Wilson	
162_1_162con	162 Lawrence-Donway	The Donway East/Lawrence	Melrose Avenue	162 Avenue Rd (Roe Loop)	via Lawrence Stn	Wilson	
165_0_165A	165 Weston Rd North	Steeles Av West/Barmac Road	York Mills Stn	165 York Mills Stn	via Wilson Stn	Arrow Rd	
165_0_165Apm	165 Weston Rd North	Steeles Av West/Barmac Road	York Mills Stn	165 York Mills Stn	via Wilson Stn	Arrow Rd	
165_0_165AAM	165 Weston Rd North	Weston Road/Ormont Drive	York Mills Stn 	165 York Mills Stn	via Wilson Stn	Arrow Rd	
165_0_si165	165 Weston Rd North	Old Weston Rd/Steeles Av West	York Mills Stn	165 York Mills Stn	via Wilson Stn	Arrow Rd	
165_0_BAFW	165 Weston Rd North	Steeles Av West/Barmac Road	Finch Avenue West	165S Finch	N/A	Arrow Rd	
165_0_BAYM	165 Weston Rd North	St Basil The Great College School	York Mills Stn	165 York Mills Stn	School trip, St Basil College	Arrow Rd	
165_0_ORFW	165 Weston Rd North	Weston Road/Ormont Drive	Finch Avenue West	165S Finch	Final trip	Arrow Rd	
165_1_165A	165 Weston Rd North	York Mills Stn	Steeles Av West/Barmac Road	165 Steeles	via Wilson Stn and Old Weston Rd	Arrow Rd	
165_1_165AAM	165 Weston Rd North	York Mills Stn 	Weston Road/Ormont Drive	165 Steeles	via Wilson Stn, after Old Weston Rd	Arrow Rd	
165_1_wi165G	165 Weston Rd North	Wilson Stn	Steeles Ave West/Barmac Road	165 Steeles	First trip	Arrow Rd	
165_1_FWBA	165 Weston Rd North	Finch Avenue West	Steeles Ave West/Barmac Road	165 Steeles 	N/A	Arrow Rd	
165_1_ORFW	165 Weston Rd North	Finch Avenue West	Weston Road/Ormont Drive	165 Steeles	N/A	Arrow Rd	
167_0_167A	167 Pharmacy North 	Esna Park Loop/Steeles	Don Mills Stn	167A Don Mills Stn	via Consumers Rd	Birchmount	
167_0_167B	167 Pharmacy North 	Esna Park Loop/Steeles	Don Mills Stn	167B Don Mills Stn	N/A	Birchmount	
167_1_167A	167 Pharmacy North 	Don Mills Stn	Esna Park Loop/Steeles	167A Steeles 	via Consumers Rd	Birchmount	
167_1_167B	167 Pharmacy North 	Don Mills Stn	Esna Park Loop/Steeles	167B Steeles 	N/A	Birchmount	
168_0_168	168 Symington 	Avon Loop/Weston Road	Dundas West Stn	168 Dundas West Stn	N/A	Mount Dennis	
168_1_168	168 Symington 	Dundas West Stn	Avon Loop/Weston Road	168 Rogers Rd & Weston Rd	N/A	Mount Dennis	
168_1_168edna	168 Symington	Edna Avenue (Dundas West Stn)	Avon Loop/Weston Road	168 Rogers Rd & Weston Rd	While subway is closed	Mount Dennis	
169_0_169A	169 Huntingwood	Scarborough Centre 	Don Mills Stn	169A Don Mills Stn	via Van Horne	Wilson	
169_0_169B	169 Huntingwood	Scarborough Centre 	Don Mills Stn	169B Don Mills Stn	N/A	Wilson	
169_1_169A	169 Huntingwood	Don Mills Stn	Scarborough Centre 	169A Scarborough Centre 	via Van Horne	Wilson	
169_1_169B	169 Huntingwood	Don Mills Stn	Scarborough Centre 	169B Scarborough Centre	N/A	Wilson	
169_1_MCDO	169 Huntingwood	McCowan/Sheppard 	Don Mills Stn	169B Don Mills Stn	N/A	Wilson	
171_0_171	171 Mount Dennis	Mount Dennis Garage	Jane Street	171 Jane 	N/A	Mount Dennis	This route runs before rush hour and before regular bus service begins, as it brings operators into the yard from Weston and Jane
171_1_171	171 Mount Dennis	Jane Street	Mount Dennis Garage	171 Mount Dennis	N/A	Mount Dennis	This route runs before rush hour and before regular bus service begins, as it brings operators into the yard from Weston and Jane
175_0_175	175 Bluffer's Park	Kennedy Stn	Scarborough Bluffs Beach Loop	175 Bluffer's Park	N/A	Birchmount	This Route runs every 15 minutes connecting people from Kennedy Station to Bluffer's Park beach and Marina
175_1_175	175 Bluffer's Park 	Scarborough Bluffs Beach Loop	Kennedy Stn	175 Kennedy Stn	N/A	Birchmount	This Route runs every 15 minutes connecting people from Kennedy Station to Bluffer's Park beach and Marina
176_0_176am	176 Mimco GO 	Newcastle/Windsor (Mimico GO) 	Lake Shore Blvd (Lake Shore Loop)	176 Parklawn	N/A	Queensway	This Route runs during rush hour every 30 minutes to meet the GO Train at Mimico GO, to bring people to Lakeshore to transfer to other bus routes
176_0_176pm	176 Mimco GO 	Newcastle/Windsor (Mimico GO) 	Lake Shore Blvd (Lake Shore Loop)	176 Parklawn	N/A	Queensway	This Route runs during rush hour every 30 minutes to meet the GO Train at Mimico GO, to bring people to Lakeshore to transfer to other bus routes
176_1_176am	176 Mimico GO	Lake Shore Blvd (Lake Shore Loop)	Newcastle/Windsor (Mimico GO) 	176 Mimico GO 	N/A	Queensway	This Route runs during rush hour every 30 minutes to meet the GO Train at Mimico GO, to bring people to Lakeshore to transfer to other bus routes
176_1_176pm	176 Mimico GO	Lake Shore Blvd (Lake Shore Loop)	Newcastle/Windsor (Mimico GO) 	176 Mimico GO 	N/A	Queensway	This Route runs during rush hour every 30 minutes to meet the GO Train at Mimico GO, to bring people to Lakeshore to transfer to other bus routes
189_0_189	189 Stockyards	St Clair Ave West/Florence Crescent	High Park Stn	189 High Park Stn	via Keele Stn	Queensway	
189_1_189	189 Stockyards	High Park Stn	St Clair Ave West/Florence Crescent	189 Scarlett Rd	N/A	Queensway	
193_0_193	193 Exhibition Rocket	CNE Dufferin Gates	Dundas West Stn	193 Dundas West Stn	N/A	Queensway	This route no longer runs and is replaced by 29E (929 With new express branding)
193_1_193	193 Exhibition Rocket	Dundas West Stn 	CNE Dufferin Gates	193 West Entrance	N/A	Queensway	This route no longer runs and is replaced by 29E (929 With new express branding)
300_0_300A	300 Bloor-Danforth 	Pearson Airport (Terminal 3)	Warden Avenue	300A Warden	bypass Kipling Stn	Birchmount, Eglinton, Mount Dennis, Queensway	This is the standard branch for 300A.
300_0_300A*	300 Bloor-Danforth 	Pearson Airport (Terminal 3)	Warden Avenue	300A Warden	via Kipling Stn	Birchmount	While Kipling Stn is still open, this branch runs to enter Kipling Stn.
300_0_300Abs	300 Bloor-Danforth	Pearson Airport (Terminal 3)	Broadview/Danforth	300S Broadview Stn	bypass Kipling Stn	Eglinton	
300_0_300Ake	300 Bloor-Danforth	Pearson Airport (Terminal 3)	Kennedy Stn	300B Kennedy Stn 	bypass Kipling Stn	Birchmount, Eglinton, Mount Dennis	On Sundays starting at 5:50am, this branch runs the whole way from Pearson Airport to Kennedy Stn. - TRACK
300_0_300B	300 Bloor-Danforth 	The West Mall	Kennedy Stn	300B Kennedy Stn	bypass Kipling Stn	Birchmount, Eglinton, Malvern, Mount Dennis, Queensway	This is the standard branch for 300B.
300_0_300B*	300 Bloor-Danforth 	The East Mall/Bloor St West	Kennedy Stn	300B Kennedy Stn	via Kipling Stn	Birchmount, Mount Dennis, Queensway	While Kipling Stn is still open, this branch runs to enter Kipling Stn.
300_0_300Bstn	300 Bloor-Danforth 	The East Mall	Kennedy Stn	300B Kennedy Stn	bypass Kipling Stn, 	Birchmount, Eglinton, Queensway	This branch actually enters Kennedy Stn
300_0_300Bdd	300 Bloor-Danforth 	The East Mall	Warden Avenue/Danforth Road	300A Warden	N/A	Birchmount, Queensway	This branch terminates at the eastern end of 300A, usually during the start of the operating day.
300_0_300cs	300 Bloor-Danforth	Kipling Stn	Coxwell Stn	300S Coxwell Stn	N/A	Queensway	This branch operates when the subway is about to open.
300_0_ba300	300 Bloor-Danforth	Bathurst Stn	Warden Avenue/Danforth Rd	300A Warden	N/A	Birchmount, Eglinton, Mount Dennis, Queensway	When the subway has closed.
300_0_ba300B	300 Bloor-Danforth 	Bathurst Stn	Kennedy Stn	300B Kennedy Stn	bypass Kipling Stn	Birchmount, Mount Dennis, Queensway	When the subway has closed.
300_0_EMKP	300 Bloor-Danforth 	The East Mall	Kipling Stn	300S Kipling Stn	Last Trip	Eglinton, Queensway	Last trip when the subway has opened.
300_0_kp300	300 Bloor-Danforth 	Kipling Stn	Coxwell Stn	300S Coxwell Stn	N/A	Mount Dennis, Queensway	This branch operates when the subway is about to open.
300_0_kp300ps	300 Bloor-Danforth	Kipling Stn	Pape Stn	300S Pape Stn	N/A	Queensway	This branch operates when the subway is about to open.
300_0_LSPS	300 Bloor-Danforth	Lansdowne Stn	Pape Stn	300S Pape Stn	N/A	Eglinton	This branch is usually done by runs from 25 Don Mills. Buses that ended at Lansdowne station do this run and head back to Pape station.
300_0_MSDD	300 Bloor-Danforth 	Main Street Stn	Warden Avenue/Danforth Road	300A Warden	N/A	Birchmount, Queensway	When the subway has closed.
300_0_MSKE	300 Bloor-Danforth 	Main Street Stn	Kennedy Stn	300B Kennedy Stn	N/A	Birchmount	When the subway has opened. Used on Saturdays.
300_0_T3KP	300 Bloor-Danforth	Pearson Airport (Terminal 3)	Kipling Stn	300S Kipling Stn	N/A	Queensway	This branch operates to Kipling Stn
300_1_300A	300 Bloor-Danforth 	Warden Avenue	Pearson Airport (Terminal 3)	300A Pearson Airport	bypass Kipling Stn	Birchmount, Eglinton, Mount Dennis, Queensway	This is the standard branch for 300A.
300_1_300A*	300 Bloor-Danforth 	Warden Avenue	Pearson Airport (Terminal 3)	300A Pearson Airport	via Kipling Stn	Birchmount, Queensway	While Kipling stn is still open, this branch runs to enter Kipling stn.
300_1_300Akp	300 Bloor-Danforth 	Warden Avenue	Kipling Stn	300S Kipling Stn	N/A	Queensway	This branch operates when the subway is about to open on Sundays.
300_1_300B	300 Bloor-Danforth 	Kennedy Stn	The West Mall	300B West Mall	bypass Kipling Stn	Birchmount, Eglinton, Malvern, Queensway	This is the standard branch for 300B.
300_1_300B*	300 Bloor-Danforth 	Kennedy Stn	The West Mall	300B West Mall	via Kipling Stn	Queensway, Birchmount	While Kipling stn is still open, this branch runs to enter Kipling stn.
300_1_300baB	300 Bloor-Danforth	Kennedy Stn	Bathurst Stn	300S Bathurst Stn	N/A	Wilson, Mount Dennis	When the subway has opened. Used on Sunday mornings
300_1_300bsB	300 Bloor-Danforth	Kennedy Stn	Broadview Stn	300S Broadview Stn	N/A	Birchmount, Eglinton, Queensway	When the subway has opened. Used on Sunday mornings
300_1_300Bkp	300 Bloor-Danforth 	Kennedy Stn	Kipling Stn	300S Kipling Stn	N/A	Birchmount, Mount Dennis, Queensway	This branch operates when the subway is about to open.
300_1_300la	300 Bloor-Danforth 	Warden Avenue	Lansdowne Stn	300S Lansdowne Stn	N/A	Eglinton	Run by buses from route 25, this branch runs when the subway begins to open. After this branch, vehicles return to pape station
300_1_300kp	300 Bloor-Danforth 	Warden Avenue	Kipling Stn	300S Kipling Stn	N/A	Birchmount, Queensway	This branch operates when the subway has closed.
300_1_bs300	300 Bloor-Danforth 	Broadview Stn	West Mall	300B West Mall	N/A	Eglinton, Mount Dennis, Queensway	This branch operates when the subway has closed.
300_1_bs300*	300 Bloor-Danforth 	Broadview Stn	The East Mall/Bloor St West	300B West Mall via Kipling Stn	N/A	Mount Dennis, Queensway	This branch operates starting from Broadview as trips starting earlier are impossible for passengers to board.
300_1_BSKP	300 Bloor-Danforth 	Broadview Stn	Kipling Stn	300S Kipling Stn	N/A	Queensway	This branch operates when the subway has opened.
